order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,593317C00-3,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,593317C00-3,,100.0,Feb,W6,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,UKD,SO24004378,OEM Replenishment order,593317C00-3,,150.0,Feb,W6,Cell-5,,-150,,,-150,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,799015C01,,250.0,Feb,W4,Cell-5,,-250,,,-250,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,288307,,1250.0,Feb,W6,Cell-5,,-1250,,,-1250,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,288307,,200.0,Feb,W6,Cell-5,,-200,,,-200,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,286317C01,,450.0,Feb,W6,Cell-5,,-450,,,-450,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,286317C01,,550.0,Feb,W6,Cell-5,,-550,,,-550,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,286317C01,,250.0,Feb,W6,Cell-5,,-250,,,-250,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,286318CZ,,900.0,Feb,W6,Cell-1,,-900,,,-900,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,163262C00-48,,100.0,Feb,W6,Cell-1,,-100,,,-100,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,163262C00-50,,250.0,Feb,W6,Cell-1,,-250,,,-250,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,163262C00-52,,200.0,Feb,W6,Cell-1,,-200,,,-200,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,163262C00-52,,350.0,Feb,W6,Cell-1,,-350,,,-350,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,163262C00-52,,50.0,Feb,W6,Cell-1,,-50,,,-50,
2024-12-11 00:00:00,W50,UKD,SO24004378,OEM Replenishment order,163262C00-52,,50.0,Feb,W6,Cell-1,,-50,,,-50,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,163262C00-54,,450.0,Feb,W6,Cell-1,,-450,,,-450,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,163262C00-54,,600.0,Feb,W6,Cell-1,,-600,,,-600,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,163262C00-54,,50.0,Feb,W6,Cell-1,,-50,,,-50,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,163262C00-56,,150.0,Feb,W6,Cell-1,,-150,,,-150,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,163262C00-56,,200.0,Feb,W6,Cell-1,,-200,,,-200,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,163262C00-56,,50.0,Feb,W6,Cell-1,,-50,,,-50,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,163262C00-58,,100.0,Feb,W6,Cell-1,,-100,,,-100,
